timestamp_ms,altitude_m,apogee_m,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_r,quat_x,quat_y,quat_z,gps_lat,gps_lon,gps_satellites,gps_fix_type,gps_pos_acc_cm,gps_vel_acc_cm,gps_pdop,gps_itow,data_time_ms,data_altitude_m,baro_pressure_pa,baro_temp_c,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,highg_accel_x,highg_accel_y,highg_accel_z,mag_x,mag_y,mag_z
1781645578238,0.779633692770517,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,119300,132914,858.7067846734284,91422.5976978215,32.94615340791643,-20496,76128,-949648,-2668750,-1618750,437500,0,780000,1560000,-3746,3330,-3541
1781645578723,0.45380394251537837,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,119800,133414,858.7067846734284,91422.5976978215,32.94615340791643,-33184,66368,-964288,-2660000,-717500,1330000,0,780000,2340000,-3736,3379,-3498
1781645579234,0.6632325541398814,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,120400,133914,858.9627471307556,91419.76738992066,32.97264039516449,-32208,65392,-943792,463750,2441250,-892500,0,780000,1560000,-3738,3375,-3543
1781645579750,0.7097779567392308,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,120900,134414,857.8922498294498,91431.60489843074,32.99029829353094,-24400,57584,-946720,-866250,-3421250,-3115000,0,780000,1560000,-3740,3355,-3585
1781645580236,0.7097779567392308,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,121400,134914,859.3002499311241,91416.03555711504,32.99471275648102,-22448,70272,-951600,2257500,1540000,-463750,0,780000,1560000,-3738,3360,-3552
1781645580722,-0.36071508885277126,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,121900,135414,858.4740514072347,91425.17121022331,32.99912721477449,-19520,58560,-962336,2257500,-2065000,883750,0,0,1560000,-3741,3340,-3559
1781645581208,0.9658460375090954,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,122400,135914,858.1482700703956,91428.77372585818,33.01678500138223,-4880,70272,-934032,-3097500,-262500,-1356250,0,0,1560000,-3761,3371,-3554
1781645581748,1.0939153551726122,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,122700,136414,858.6487018587687,91423.23995910422,33.0300282924436,-16592,56608,-959408,-411250,192500,1330000,0,780000,1560000,-3753,3363,-3489
1781645582235,0.8495946810123769,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,123300,136914,858.4858227465455,91425.04104397836,33.03885712986812,-25376,53680,-956480,-2660000,-2966250,1330000,0,780000,1560000,-3740,3365,-3580
1781645582720,0.7333912928839936,,0,0,0,0,0,0,1,0,0,0,0,0,0,NoFix,649519232,0,0,123800,137414,858.1600740091047,91428.64319496999,33.0565147488378,2928,69296,-964288,-3981250,-708750,-1785000,0,780000,2340000,-3775,3340,-3558
